,open,high,low,close,adjclose,volume,ticker,adjclose_1,true_adjclose_1,buy_profit,sell_profit
2005-04-07,345.0,345.0,332.5,342.5,242.85470581054688,1321300000,BBCA.JK,222.26996,242.85470581054688,0.0,0.0
2005-04-27,320.0,325.0,315.0,317.5,225.12803649902344,807540000,BBCA.JK,207.31593,221.58277893066406,0.0,3.545257568359375
2005-05-18,330.0,330.0,325.0,327.5,232.21876525878906,148410000,BBCA.JK,220.38208,233.99134826660156,0.0,-1.7725830078125
2005-05-26,325.0,332.5,325.0,330.0,233.99134826660156,222780000,BBCA.JK,225.93913,232.21876525878906,0.0,1.7725830078125
2005-06-01,345.0,347.5,342.5,345.0,244.62728881835938,189470000,BBCA.JK,235.19165,251.71798706054688,0.0,-7.0906982421875
2005-06-07,352.5,357.5,350.0,350.0,248.1727294921875,158940000,BBCA.JK,240.07666,248.1727294921875,0.0,0.0
2005-06-10,352.5,352.5,347.5,350.0,248.1727294921875,62030000,BBCA.JK,242.99155,248.1727294921875,0.0,0.0
2005-06-17,360.0,367.5,360.0,367.5,260.5813293457031,173220000,BBCA.JK,249.99785,258.8086853027344,0.0,1.77264404296875
2005-06-20,367.5,367.5,362.5,365.0,258.8086853027344,99610000,BBCA.JK,252.02655,258.8086853027344,0.0,0.0
2005-06-21,362.5,370.0,360.0,365.0,258.8086853027344,211940000,BBCA.JK,251.13458,258.8086853027344,0.0,0.0
2005-06-22,365.0,365.0,357.5,365.0,258.8086853027344,185660000,BBCA.JK,252.30386,255.2632598876953,0.0,3.5454254150390625
2005-07-06,355.0,355.0,350.0,352.5,249.94534301757812,120810000,BBCA.JK,247.46516,246.39999389648438,0.0,3.54534912109375
2005-07-12,352.5,352.5,350.0,350.0,248.1727294921875,99170000,BBCA.JK,246.50447,248.1727294921875,0.0,0.0
2005-07-13,350.0,352.5,350.0,350.0,248.1727294921875,152770000,BBCA.JK,244.9033,249.94534301757812,0.0,-1.772613525390625
2005-07-14,352.5,355.0,352.5,352.5,249.94534301757812,78330000,BBCA.JK,247.1524,249.94534301757812,0.0,0.0
2005-07-19,352.5,355.0,352.5,355.0,251.71798706054688,158950000,BBCA.JK,243.48636,259.3348693847656,0.0,-7.61688232421875
2005-08-29,337.5,337.5,325.0,330.0,239.38592529296875,562120000,BBCA.JK,225.82097,244.8265380859375,0.0,-5.44061279296875
2005-09-21,347.5,347.5,347.5,347.5,252.0806427001953,0,BBCA.JK,245.21703,248.45361328125,0.0,3.6270294189453125
2005-09-27,337.5,342.5,337.5,340.0,246.6401824951172,184660000,BBCA.JK,240.53241,241.19955444335938,0.0,5.4406280517578125
2005-10-10,347.5,347.5,337.5,347.5,255.7076873779297,144080000,BBCA.JK,246.83194,252.02853393554688,0.0,3.6791534423828125
2005-10-14,337.5,337.5,332.5,337.5,248.34921264648438,127950000,BBCA.JK,241.99612,246.50965881347656,0.0,1.8395538330078125
2005-10-17,337.5,337.5,327.5,335.0,246.50965881347656,293810000,BBCA.JK,235.43327,246.50965881347656,0.0,0.0
2005-10-26,332.5,335.0,330.0,332.5,244.6700439453125,685580000,BBCA.JK,227.90779,244.6700439453125,0.0,0.0
2005-10-27,332.5,332.5,330.0,332.5,244.6700439453125,217930000,BBCA.JK,238.07303,237.3115234375,0.0,7.3585205078125
2005-11-09,310.0,310.0,295.0,305.0,224.43414306640625,656090000,BBCA.JK,212.4756,220.75491333007812,0.0,3.679229736328125
2005-11-10,300.0,305.0,297.5,300.0,220.75491333007812,429730000,BBCA.JK,215.22145,220.75491333007812,0.0,0.0
2005-11-21,315.0,325.0,312.5,315.0,231.7926025390625,441580000,BBCA.JK,218.39075,233.63223266601562,0.0,-1.839630126953125
2005-11-23,322.5,322.5,315.0,322.5,237.3115234375,290430000,BBCA.JK,222.7339,242.83035278320312,0.0,-5.518829345703125
2005-12-02,335.0,335.0,330.0,335.0,246.50965881347656,769850000,BBCA.JK,223.42429,246.50965881347656,0.0,0.0
2005-12-07,350.0,350.0,342.5,350.0,257.54742431640625,653040000,BBCA.JK,239.02432,259.3870544433594,0.0,-1.839630126953125
2005-12-08,352.5,357.5,350.0,352.5,259.3870544433594,521870000,BBCA.JK,239.99925,253.86805725097656,0.0,5.5189971923828125
2005-12-12,345.0,347.5,342.5,345.0,253.86805725097656,121070000,BBCA.JK,240.32913,257.54742431640625,0.0,-3.6793670654296875
2005-12-16,340.0,342.5,337.5,340.0,250.1888885498047,192820000,BBCA.JK,240.09499,250.1888885498047,0.0,0.0
2006-01-10,365.0,365.0,365.0,365.0,268.58514404296875,0,BBCA.JK,261.20624,266.7455139160156,0.0,1.839630126953125
2006-01-19,352.5,362.5,352.5,362.5,266.7455139160156,72780000,BBCA.JK,260.18335,266.7455139160156,0.0,0.0
2006-01-30,362.5,365.0,360.0,362.5,266.7455139160156,21300000,BBCA.JK,258.65982,266.7455139160156,0.0,0.0
2006-02-03,370.0,370.0,365.0,370.0,272.2643737792969,51120000,BBCA.JK,263.87518,272.2643737792969,0.0,0.0
2006-02-13,362.5,367.5,360.0,362.5,266.7455139160156,52900000,BBCA.JK,262.51852,266.7455139160156,0.0,0.0
2006-02-27,355.0,362.5,350.0,355.0,261.2265930175781,101770000,BBCA.JK,257.4869,264.90582275390625,0.0,-3.679229736328125
2006-02-28,360.0,360.0,355.0,360.0,264.90582275390625,66570000,BBCA.JK,257.93542,268.58514404296875,0.0,-3.6793212890625
2006-03-07,365.0,377.5,365.0,365.0,268.58514404296875,78660000,BBCA.JK,259.90988,264.90582275390625,0.0,3.6793212890625
2006-03-09,362.5,365.0,360.0,365.0,268.58514404296875,83830000,BBCA.JK,262.71072,281.4624938964844,0.0,-12.877349853515625
2006-03-14,372.5,380.0,370.0,370.0,272.2643737792969,80700000,BBCA.JK,261.54675,270.4248046875,0.0,1.839569091796875
2006-03-20,417.5,417.5,400.0,417.5,307.21728515625,523240000,BBCA.JK,289.09088,303.5380554199219,0.0,3.679229736328125
